COMPANY,CEO,TOWN,HQ,Field,email,phone
MTA CAMEROUN SA, Monsieur  Bernard FOGUEN(Administrateur directeur général), DOUALA," Akwa, Carrefour Arno", Télécommunication, siege.nestlecameroun@cm.nestle.com, 656 22 15 81
MTN CAMEROON, Monsieur Stephen BLEWETT (Directeur Général), LIMBE, New town Limbé," Imprimerie offset, numérique, sérigarphie, flexographie, héliogravure, métal et bois", charles.kooh@newko-cm.com ;  ckooh2@yahoo.fr, 222 20 28 23/222 20 29 81
MULTIPRINT, Monsieur François-Xavier TANKOU(Directeur général), YAOUNDE," Bonanjo, à coté CBC", Aménagement, infos@nezafi.com, 233 42 99 21
NACYDATE SARL, Monsieur Yannick NJOPKOU NONO (D.G), DOUALA," Akwa, immeuble Activa", fournitures industrielles," reservations@noubouinternationalhotel.com,", 233 42 99 44/ 233 42 46 60 / 233 42 99 44 / 233 43 05 15
NAL BUSINESS & CORPORATION, Monsieur  Ambroise Legrand NINTCHEU NOUMBISSIE(Directeur général), DOUALA," Bonanjo, immeuble CitIgroup", Recyclage," esther.tiako@groupensia.com, nsia.cm@groupensia.com"," 678999990, 222225436"
NAMé RECYCLING SARL, Roblain NTEMDIEU NAMEGNI (PDG), YAOUNDE, Elig Essono, Banque, ntc@camnet.cm, 233426121
NATIONAL FINANCIAL CREDIT BANK, Monsieur Julius BERDU MANJO(Directeur général), DOUALA, AKWA (Rue Docteur Jeamot Ngodi), Fabrication et commercialisation de produits alimentaires, contact@oapa-abcs.org, 233 50 27 00/ 233 43 31 13
NESTLE CAMEROUN, Monsieur Robert HELOU (Directeur général), DOUALA," Bonanjo, Ancien Immeuble SAGA (Bld de la liberté", Cabinet d'audit et de conseil, info@oasismotors.com, 2342 07 00 / 2342 09 21
NEWKO AUDIT, Monsieur Charles KOOH II(Associé Directeur général), DOUALA, Akwa," Production et Distribution produits alimentaire, Immobilier,", h.assi@okfoods-cam.com," 677604234, 222209498, 694188618"
NEZAFI CAPITAL, Monsieur Ernest Aimé DJATCHEU NZALI ( Directeur Général), YAOUNDE," Yassa, Douala 3è, à côté du pont bascule"," Services Hôtellerie, restauration, tourisme", info@okplastcam.com, 233 08 39 80 / 233 08 39 81
NOUBOU INTERNATIONAL HOTEL SA, Monsieur François KENMOE (Président), DOUALA, Bonabéri (Après le Lycée), Commercialisation d'assurances, oakalla@okalla-ahanda.com, 233 39 28 70 / 233 39 28 71
NSIA, Madame Esther TIAKO(Directeur général), DOUALA," Bonaberi, zone Magzi"," Services (Informatiques, formation, multimédia)"," cameroon@olamnet.com; alaindidier.b@olamnet.com, olamcameroun@damnet.com", 233 39 14 26/27
NT&C, Monsieur Elie NTIEUPMA(Président Directeur général), DOUALA," Akwa, face activa"," Etudes stratégiques sur le climat des affaires, plaidoyer institutionnel, accompagnement performances des entreprises", omed.douala@yahoo.com, 233 42 78 87
OAPA (Observatoire Africain de la Pratique des Affaires), Pr Justine DIFFO TCHUMKAM (Présidente), DOUALA," Bonanjo, Zone portuaire, derrière Pullman Hotel"," Concessionnaires automobiles, quincaillerie industrielle", jdchepda@omoa-group.com, 2 33 42 68 15
OASIS MOTORS, Monsieur Thomas d'Aquin MOUAFO(Président Directeur général), DOUALA," Akwa, à côté du Laboratoire d’analyse Douala Labo", INDUSTRIE AGRO-ALIMENTAIRE, oneworldbusiness@oneworld-b.com," 672218861, 696808080"
OK FOODS, Monsieur ASSI HUSSEIN(Directeur général), DOUALA," 17 Place du gouvernement, Bonanjo", Industrie Matières Plastiques, onzfi@onzfi.org; rtchouanga@yahoo.fr, +237 233 43 66 62
OK PLASTCAM Sarl, Monsieur Sami BAKER(Directeur général), Douala," Akwa, Avenue Ahmadou Ahidjo", Expertise comptable - Audit - conseil en gestion - conseil juridique et fiscal, samuel.ngondi@orange.com, 233428606/233432372
OKALLA AHANDA & ASSOCIES, Monsieur Jean Pierre  OKALLA AHANDA(Directeur général), DOUALA," Bonanjo, à coté centre linguistique", Industrie et Distribution Agro-Alimentaire, contact@pak.cm, 233 43 33 43 / 233 43 33 44
OLAM CAM S.A., Monsieur RAHUL MITTAL(Directeur général), DOUALA," Akwa, Boulevard de la Liberté"," Vente de billets d’avion, réservation d’hôtel, tourisme", pamol-lbe@pamol-plantations.com;  pamol-dla@pamol-plantation.com, 233 42 75 37
OMED VOYAGE, Monsieur Heeresh SHIVDASANI (D.G), DOUALA, Immeuble Emergence, Monétique, contact@paness.net, 222462100
OMOA CAMEROUN S.A, Jean-Daniel CHEPDA, Kribi, Sud West, Vente de pièces détachées et batteries, panzanicameroun@cadyst-invest.com,  677 11 12 47/ 677 11 12 42
ONE WORLD BUSINESS SA, Monsieur ABBA MOUSTAFA (D.G), DOUALA, Akwa, Administration et supervision du régime de la zone franche, jekeke@cm.perenco.com, 233 42 58 25 / 233 42 67 56/ 699 68 35 15
ONZFI (Office National des Zones Franches Industrielles), Monsieur Robert TCHOUNGA(Directeur général), DOUALA," Bassa, Zone industrielle", Téléphonie mobile, petrolex@petrolex.net, 23337 02 24
ORANGE CAMEROUN S.A., Monsieur Frédéric Debord (Directeur général), DOUALA," Bonanjo, base Elf"," Gestion, aménagement et exploitation portuaires", r.temkou@phpcam.net, 233 41 47 17 / 233 42 61 50
PAK (PORT AUTONOME DE KRIBI), Monsieur Patrice Barthélemy MELOM (DG);  Monsieur Jean Paul SIMO NJONOU (PCA), DOUALA," Bonapriso,  Rue D. Savio, face centre PROMED", Production d'huile de palme," henritafou@yahoo.fr, pigierdouala@yahoo.fr, pigierdouala@pigiercam.com", 233 40 27 12 / 233 40 27 13/699 534 650
PAMOL PLANTATIONS, Monsieur MEKANYA Charles OKON(Directeur par intérim), DOUALA, Akwa," Conseil et formation, audit, informatique, évenementiel", dir.general@plasticam.net; d.plasticam@gmail.com, Nyombe 677 50 03 85/ 233 42 06 00 Dla
PANESS CONSEIL (Panafric Engineering and Services), Monsieur  Dieudonné  TIETSE(Directeur général), DOUALA, Akwa," Pâtes alimentaires, lais infantiles  & produits de négoce", polypharma90@polypharma90.com, 233 42 83 68/ 696 70 39 76
PANZANI CAMEROUN SA, Monsieur Célestin TAWAMBA(Président directeur général); M. Cyrille DJOFANG(Directeur général adjoint), DOUALA," Bassa, Rue 3w854 N°2060", Industrie  Pétrolière, pad@portdedouala.cameroun.com, 233 37 50 57 / 677 115 982
PERENCO RIO DEL REY, Monsieur Adrien BROCHE (Directeur Général), DOUALA, Bessengue, Distribution des produits pétroliers, info@assacam.com, 233 40 08 65/233 40 69 74
PETROLEX CAMEROUN S.A, Monsieur Gabriel NDJIKE FOTSO(Président Directeur général), DOUALA, Bonanjo, Culture et exportation de bananes, mirelle.ngani@premium-financial.com, 233 42 01 33 / 233 43 55 84
PHP (Plantations de Haut  Penja), Monsieur Pascal FERRIER (Directeur Général), DOUALA," Zone portuaire Blvd Leclerc, à coté 3T"," Formation, enseignement supérieur", nadine.tinen@cm.pwc.com, 233 42 37 68/222 08 05 01
PIGIER CAMEROUN, Monsieur Henri TAFOU(Directeur général), DOUALA," Bonanjo, entre air France et Eco bank"," Industrie de transformation, emballage carton et plastique", info@prodigyaviationsolutions.com / idriss@prodigyaviationsolutions.com, 696057764
PLASTICAM, Madame FOYOU Epse FANKAM YAMAKO Marielle (Directeur Général), DOUALA," Bonanjo, face annexe polyclinique Muna"," Import-export , commercialisation du matériel et équipement médico-chirurgical, de laboratoire et des réactifs de laboratoire", info@prometal-cm.com, 233 43 24 43 / 44 / 45 / 46
POLYPHARMA SARL, Monsieur Modeste TABOUGUIA(Directeur général), DOUALA," Bassa, zone industrielle"," Gestion, aménagement et exploitation portuaires", ngouchet@yahoo.fr, 233 42 55 88
PORT AUTONOME DE DOUALA, Monsieur Cyrus NGO'O(Directeur général), DOUALA," Akwa, 17-Rue Druot", Distribution des produits hydrocarbures, proximitycare2013@yahoo.com / proximitycare2013@gmail.com, 233 37 85 85 / 233 37 85 95
PPSM, Monsieur Samuel WEMBE(Directeur général), DOUALA," AKWA, Rue Boue Lapeyrere (Mermoz)", Conseils financiers," yleferec@razel.fr, fngono@razel.fr", 233 40 75 71
PREMIUM FINANCIAL, Madame Mirelle NGANI (Associé Gérant), DOUALA," Yaoundé, Hotel de ville immeuble DHL"," Cabinet d''audit , conseil juridique et fiscal", contact@reptic.cm ; reptic.cm@gmail.com ; pfkamanou@gts-infotel.com, 233 42 86 86 - 673 30 55 69 - 694 52 50 51
PRICEWATERHOUSECOOPERS TAX & LEGAL, Madame Nadine TCHANGOUM TINEN(Directeur général), DOUALA," Localisation : Yaoundé, Total Tsinga, Esc 3, 1er étage (GTS)", Aéronautique, info@royalchimie-phyto.cm / royal.chimie@gmail.com, 222 22 03 06 / 222 22 07 80
PRODIGY AVIATION SOLUTIONS, Monsieur Idriss CHEDJOU (D.G), YAOUNDE," Bonatéki-Déido, 1810, rue des garages", construction metallique," rwking@rwkingcam.com, claude.ngankeng@rwkingcam.com", 696613569
PROMETAL, Monsieur HAYSSAM EL JAMMAL(Directeur général), YAOUNDE," Beach, Bld Leclerc", Import-export," info@saagry.cm, saagry@yahoo.fr", 233471535 / 233400279
PROMODIS AFRIQ SARL, Monsieur Martin  NGOUCHET(Directeur général), DOUALA, Bonamoussadi Zone MAGZI," Nettoyage industriel, hygiène et assainissement, entretien espaces verts", gkagou@saar-assurances.com; yvymai@yahoo.fr; contact@saar-assurances.com, 233 42 59 45 / 699 50 59 45 / 677 70 59 45
PROXIMITY CARE SARL, Mme. Nadine DJAMEN (Directeur Général), DOUALA," Bonanjo, derrière chanas ass.", Travaux publics, sabinternational2015@gmail.com, 233 42 60 80/ 233 12 00 81
RAZEL CAMEROUN, Monsieur Franck CASTELEYN (Directeur général), DOUALA, Zone industrielle Mvan," Association des professionnels des Télécoms, TIC et Numérique", rmfondja@sabc-cm.com, 233 43 17 65  / 233 43 92 00/233 431 765/17 56
"REPTIC.CM (Réseau des Professionnels du Secteur des Télécoms, des TIC et du Numérique du Cameroun.)", Monsieur Pierre-François KAMANOU, DOUALA, Bali," Distributions intrants agricoles, produits chimiques, adjuvants bétons", sae@cadyst-invest.com, 243 38 95 73
ROYAL CHIMIE S.A, M. Etienne FOUEGOU (PDG), Yaoundé, BONABERI," Commerce général, S.A.V (station diesel, maintenance) et réparation des moteurs industriels", myateng@safacam.com, 233 42 91 33
RW KING, Monsieur Martin AZEMKOUO(Directeur général), DOUALA, DIZANGUE, Agro-alimentaire, safca3@yahoo.fr, 233392616
SAAGRY SARL, Monsieur Anselme YOUSSA(Directeur général), DOUALA, Bonaberi, Assurances, cameroun@sahamassurance.com, 699 50 44 41 / 677 93 40 50
SAAR (Société Africaine d'Assurance et de Réassurances), Monsieur Georges Léopold KAGOU(Directeur général), DOUALA," 34, Rue Dinde, Bonanjo", Production  de solutions de revêtements mural et matériaux de construction, martin.foncha@sahamassurance.com, 233 06 55 77
SAB SARL (SIANTOU AFRICA BUILDING), Monsieur Lucien WANTOU SIANTOU, DOUALA, Immeuble Saham Assurance - sis au 34 rue Dinde - Bonanjo derrière l’Immeuble CNPS," Bières, Boissons gazeuses, Sirops", saicamco@yahoo.fr, 233 42 31 76
SABC (Société Anonyme des Brasseries du Cameroun), Monsieur Emmanuel DE TAILLY(Directeur général), Douala," Bonapriso, Immeuble carré d'or; face immeuble chococho", Fabrication de biscuits," guy-olivier.mbianda@sanofi.com, marie.ndengue@sanofi.com", 233 43 09 04 / 233 43 11 44
SAE SA (SOCIETE AGROALIMENTAIRE EQUATORIALE), Monsieur Célestin TAWAMBA(Président directeur général); M. Cyrille DJOFANG(Directeur général adjoint), DOUALA," Bonapriso, Rue Vasnitex (immeuble  atlantis, 5e étage)"," Hévéaculture, palmeraie", sapaci2000@yahoo.fr, 233131179/ 233443791
SAFACAM (Société Africaine Forestière et Agricole du Cameroun), Monsieur Eric DE FORESTA(Directeur général), Bafoussam," Makèpè, Rhone Poulenc"," Imprimerie offset et héliogravure, étiquettes papier, boîtes pliantes, découpes, emballages souples, affiches, dépliants"," contact@sapougroup.cm, sapou.etienne@sapougroup.cm", 233 50 61 00
SAFCA - CAHIERS, Monsieur Georges ADAM(Directeur général), DOUALA, Yassa (face sté Azur derrière le cnafop), Assurances, syndmar_gpac@yahoo.fr, 223478016
SAHAM ASSURANCES, Monsieur Théophile Gérard MOULONG (DG), Douala, Zone Portuaire, Assurance Vie, ca_scb@scbcameroun.com, 233 05 90 22
SAHAM LIFE INSURANCE, Monsieur Martin FONCHA(Directeur général), DOUALA, Bonanjo, Transformation et commercialisation café moulu, sdg-scdp@yahoo.fr/blaiseatangana2010@hotmail.fr, 233 42 05 99
SAICAM SARL, Monsieur Louis DONGMO(Directeur général), Douala," Mbopi, Carrefour agip"," Promotion de produits pharmaceutiques, monituring, études cliniques", fondjajules@yahoo.fr, 222 22 88 99/ 233 43 53 00/ 233 43 54 00/ 222 22 88 03/233 43 53 74/ 233 43 54 02
SANOFI AFC, Monsieur  William KAMGA(Directeur Général), DOUALA, Bali," Boulangerie, patisserie", mbogo_flamboyant@yahoo.fr, 23323 40 54 / 233 40 38 32 / 233 40 63 42
SAPACI SARL (Société Africaine des Produits Alimentaires CIAMS Industries), Monsieur Enoch CIAMS, DOUALA, Akak 1 - Soa, Transport, gicam@legicam.org, 699948996
SAPTRANS, Monsieur Etienne SAPOU KANA(Directeur général), YAOUNDE," Bonabéri, Cami Toyota"," Opérations d'importations et d'exportations, passage en douane, transit", scinafrique@yahoo.fr, 676961854
SCADTC (Syndicat des Commissionnaires Agrées en  Douane et  Transitaire du Cameroun), Monsieur André MBEUMO(Président), DOUALA," Bonapriso, face copteco", Services bancaires," scrmaya@camnet.cm; transitscrm@hotmail.com, secretariatdg@scrmaya.com", Dla 233 42 31 41 / 233 42 64 99 /  Ydé 222 20 07 50
SCB Cameroun (Societe Commerciale  de Banque Cameroun), Monsieur Alexandre BEZIAUD (Directeur Général), DOUALA," Bonaberi, zone industrielle", Distribution de produits pétroliers, scs.sarl@yahoo.fr, 233 10 63 37/ 699 22 95 76
SCDP (Société Camerounaise des Dépôts Pétroliers), Mme Véronique MOAMPEA MBIO née MANZOUA (Directeur général), DOUALA," Bafoussam, Kamkop", Promotion Immobilière, sctm_2004@yahoo.fr, 233 39 13 34 / 233 39 00 76
SCI IMMO 2000, Monsieur Jules FONDJA(Directeur général), BAFOUSSAM," Bonabéri, zone industrielle", Carrière industrielle - Production des agrégats, ssdadsarl@yahoo.com, 233 44 16 72
SCI PARADICIO, Monsieur MBOGO OTABELA (D.G), DOUALA," Mbopi, entrée face gendarmerie"," Import-export, distribution", sdcrasarl1@gmail.com/ moboustella@yahoo.fr, 233 39 00 16 / 233 39 00 21 / 233 39 00 18 / 233 39 08 34
SCIEC (SYNDICAT DES COMMERCANTS IMPORTATEURS EXPORTATEURS DU CAMEROUN), Monsieur Christian Kouam Dzukou(Président), DOUALA, Akwa (près de la Direction Nextel)," Imprimerie, ouvrage d'arts, travaux ferroviaires", seca.hysacam@gmail.com, 233 42 05 88 / 699 91 83 62
SCIN (Societe Camerounaise d'intermediation et de négoce), Monsieur Ismael NJOYA(Directeur général), DOUALA, Bonaloka (texaco Aéroport)," Raffinage d'huile de palme brute (savonnerie, unité de fabrication de mayonnaise, unité de fabrication de bougies)", infodla@secelgroup.com; infosyde@secelgroup.com, 233 422 729
SCR MAYA & Co (Société Camerounaise de Raffinage MAYA et Cie), Monsieur Olivier SCHIANO(Directeur général), DOUALA, Bonamoussadi, SAVONNERIE, ssgcameroon@ymail.com, 233 37 65 42
SCS (SOCIETE CAMEROUNAISE DE SAVONNERIE), Monsieur Jean II FOTSO(Président directeur général), DOUALA, Bonapriso," Fabrication bouteilles de gaz, tout emboutissage, distribution gaz domestique, équipement métallique"," semagri@semagricmr.com, alain.kanmegne@agrivisionsmr.com", 233 42 73 49/233 43 38 61
SCTM (Société Camerounaise de Transformation Métallique), Monsieur Ludovic SIELIENOU(Directeur général), DOUALA, Akwa Nord, Distribution, seremac.sarl@yahoo.fr, 233 42 22 75
SDAD (Société de Distribution & d'Achats Divers), Monsieur Paul GUIAGUIA(Président directeur général), DOUALA, Yaoundé," Prestations de services, distribution, transit, négoce international, commerce général, import-export", info-sfid@groupe-rougier.com, 2 33 47 52 41/ 233 47 68 39
SDCRA, Valérie NOUGOUM TCHEDJOU (PDG)," YAOUNDE, Ngousso, derrière station blessing", Avenue Njo-Njo Bonanjo," Collecte et transport des déchets industriels, destruction des archives et avaries, expédition transfrontalier de déchets dangereux, lutte antivectorielle et traitement phytosanytaire", directionsgmc@sgmc.somdiaa.com, 222 21 59 20/222 20 49 04/05
SECA ( Services Camerounais d'Assainissement ), Monsieur Michel  NGAPANOUN(Directeur général), DOUALA," Bonanjo, Port"," Informatique, télécommunication, électronique, formation", edith.bebey@sgs.com; annie.joky@sgs.com, 699 92 56 42
SECEL, Monsieur Blaise OUAFO(Directeur général), DOUALA," Akwa , Beach", Gardiennage, sstar@camnet.cm, 233 01 43 88/89/90/ 233 43 23 77
SECURITY SERVICES GROUP, Monsieur Alain Simplice TCHOKOKAM(Directeur général), DOUALA," Bonapriso, St John Plaza", Importation des semences maraîchères (Produits BIO),  info@sic.cm, 233 43 09 45/ 233 43 09  57
SEMAGRI Sarl, Monsieur Alain Blaise KANMEGNE(Directeur général), DOUALA, Hyppodrome," Etude, réalisation, maintenace et contrôle en électricité et travaux publics", pierluigi_passera@barry-callebaut.com, 233 42 53 30 / 675 27 03 28
SEREMAC Sarl, Monsieur Jean Paul MOUZONG ABONG(Directeur général), YAOUNDE," Bassa, Cité Cicam, Point franc", Forestier (Production-transformation-exportation), entcheu.audrey@cm.sika.com, 222 23 01 59
SFID S.A., Monsieur Quentin LOONTJENS(Directeur général), DOUALA," Zone industrielle Bonaberi, à coté Source du Pays", Production de farine boulangère, info@simtech3d.com, 233 40 88 10  / 233 40 76 50
SGMC (Société les Grands Moulins du Cameroun), Monsieur Philippe ANDRE(Directeur général), DOUALA," Camtel Bepanda, Av an 2000"," inspection, contrôle"," sipp@sippcameroun.com, sboubakary@cadyst-invest.com", 233390384
SGS CAMEROUN S.A., Monsieur  WILFRID FLOTTES-DE-POUZOLS(Directeur général), DOUALA, YAOUNDE (Zone Industrielle Mvan), Placement du personnel temporaire,  mohamed.agrebi@essilor.com, 233 40 66 17
SHOOTING STAR, Madame Judith EPEE BOUN(Directeur général), YAOUNDE," Akwa, Immeuble SGC, 5ème niveau"," Promotion Immobilière, habitat", cyil.fahy@michelin.com, 222305255
SIC (Société Immobilière du Cameroun), Monsieur Ahmadou SARDOUNA (Directeur Général), Douala, Bonabéri, Transformation des fèves de cacao," info@smscameroun.com, fpaliliki@smscameroun.com", 699715326
SIC CACAOS, Monsieur PIERLUIGI PASSERA(Président Directeur général), DOUALA," Base elf, Zone portuaire, derrière mur TAC après pharmacam, der TAC", Vente de produits chimiques pour construction et industrie," jerome.francois@smt-group.com, info.africa@smt.network"," 233 41 37 07, 699 66 27 37"
SIKA CAMEROON, Monsieur Pedro LOPES (D.G), DOUALA," Bassa, ZI MAGZI", Ingénierie électrique et industriel, sni@sni.cm, 233372746
SIMTECH-3D  SARL, Monsieur Mathurin NGUEHOU ZEBAZE(Directeur général)," DOUALA, CAMEROUN", S/c Aigle Voyages, Fabrications de solutés massifs, marie.bell@camnet.cm / sntsnordsudcti@yahoo.fr, 699545719
SIPP (SOCIETE INDUSTRIELLE DES PRODUITS PHARMACEUTIQUES), Monsieur SALIHOU BOUBAKARY(Directeur général), DOUALA," Yaoundé, Poste Centrale", Vente des produits paramédicaux, soacam@yahoo.fr / alcali.amine@soacam.cm, 222 22 44 22
SIVO CENTRAL AFRICA, Monsieur MOHAMED AGREBI (DG), YAOUNDE, Bonanjo, Vente pneumatique, socapalm@socapalm.com; rlienou@socapalm.org, 233 432 259
SMPC (Société Moderne du Pneumatique Camerounais), Monsieur Cyril FAHY (D.G), DOUALA," Akwa, Ancien 3ème", Génie mécanique," contact@socarto.com,  jean-jacques.epee-same@socarto.com , jeanjacquessameepee@yahoo.fr", 233 42 94 20
SMS CAMEROUN, Monsieur Francois PALILIKI(Directeur général), DOUALA," Bonanjo , Imm ONCPB", Commerce, contact@socatam.com, 233 43 77 83 / 233 43 87 28 / 233 43 87 26
SMT, Monsieur Jerôme FRANCOIS, DOUALA," Bassa, ndokoti"," Syndicat (Agences de voyages, vente billets d'avion, tourisme…)", socatur@hotmail.fr; lydienne_nb@yahoo.fr, 233 42 85 72 / 233 37 14 68 / 233 37 05 15
SNAVTC (Syndicat Nationale des Agences de Voyage et de Tourisme du Cameroun), M. Georges SANGANG SIMO (Président), DOUALA," Base elf, face TAC"," Société de portefeuille, création de projets, réalisation d'études et d'operations financières susceptibles de promouvoir le développement économique, prise ou rachat de participations au capital des entreprises, négociation des obligations et autres titr", emmanuel.peughouia@groupequifeurou.com;, 233 40 57 86 /233 40 57 87
SNI (Société Nationale des Investissements), Madame YAOU  AISSATOU(Directeur général), DOUALA, ndkotti (palais de justice), Commissionnaire en douane agréé, sepbc.cameroun@bollore.com, 233 40 12 97
SNTS (Société Nationale de Transit et de Services), Mme. Marie Mélanie BELL (DG), DOUALA, Essengue, Commerce général (distribution des produits alimentaires), mareme.mbaye@socgem.com, 233 42 32 00 / 233 42 54 44
SOACAM (SOCIETE ALIMENTAIRE DU CAMEROUN), Monsieur HAMIDOU NANA BOUBA(Directeur général), Douala, Lieu-dit « Parc à Bois »," Culture palmiers à huile, production & commercialisation huile brute & palmistes, fractionnement huile brute et commercialisation d'oléine et  stéarine", mame.bell@camnet.cm, 233 42 17 48
SOCAPALM (Société Camerounaise des Palmeraies), Monsieur Dominique CORNET(Directeur général), Douala, Bonanjo," Production sacs à ciment, sacs vides en papier de grande et moyenne contenance pour emballage, papier écriture et impression offset laser", clovislontsi@icloud.com, 233 42 13 74/233501601
SOCARTO (Sté Camerounaise de Cartonnages et de Fournitures de matériel  scolaire & Bureau), Monsieur Samuel  KONDO NJANGA NGANDE (PDG), DOUALA," Bonanjo,  immeuble Ibanne plateau joss, face délégation domaine", Commercialisation de matériels industriels et pétroliers, fant.said@gmail.com, 233432259
SOCATAM, Monsieur Mathieu FRAISSE(Directeur général), DOUALA, Mvog-Ada, Transport urbain, tacicam@yahoo.fr, 697 56 20 84
SOCATUR S.A., Madame Lydienne MOULOBY NGALLE BIBEHE(Directeur général), YAOUNDE, Mvog-Mbi," Import-export, distribution matériel de construction", socinfo@socomar-cameroun.com, 677713967
SOCIETE  QUIFEUROU, Monsieur Emmanuel  PEUGHOUIA(Directeur général), YAOUNDE," Bonamoussadi, derrière collège bao", Manutention portuaire (gestion de parc à bois), sodecoton@sodecoton.cm, 233 47 11 33 / 233 47 19 31
SOCIETE DES PARCS A BOIS DU CAMEROUN, Monsieur Jean-Luc PALLIX(DG) - Mme Flore YANGO (DGA), DOUALA, Derrière Hôtel Pullman (Ancien place du défilé), Services bancaires, info@sofitoul.com," 233 42 16 60, 6 734 500 93,"
SOCIETE GENERALE CAMEROUN (SGC), Madame Marème MBAYE NDIAYE (DG), DOUALA, GAROUA," Commissionnaire agréé en douane, transport maritime"," cmoumbe07@yahoo.fr, sogecobafoussam@yahoo.fr", 222 27 10 80/233 42 46 03
Société Nationale de Transit et de Services (SNTS), Madame Mélanie BELL (D.G), GAROUA," Yaoundé, Carrefour Bastos, face usine BAT, Douala, (Dla) Bonapriso face école les GAIS LUTINS", Commerce général, helene.dimene@solevogroup.com, 222 21 81 20/19/222 20 13 85
Société TCHIN-PAS SARL, Pascal TCHINDA (PDG), Yaoundé, Bonassama / Zone industrielle de Bonabéri, Import/Export, info@solextgv.com, 233444612 / 677749983
SOCIETE TIGUI SA, Mme FANTA SAID (Administrateur), DOUALA," Douala, Bali face Somatel"," Fabrication, transformation et commerce des peintures, encres et colles", contact@sonara.cm; djakdjin_h@sonara.cm, 233 42 78 12
SOCIPEC SARL, Monsieur Chrétien TAGNE(Président directeur général), DOUALA, Limbé," Consignation, Manutention, Aconage", sorepco.sa@gmail.com, 233 42 38 15 / 233 42 38 17
SOCOMAR SA, Monsieur MAZZITELLI FERNANDO (D.G), LIMBE," Mboppi, face CBC"," Encadrement des producteurs de coton, production et commercialisation de coton- fibre, huile de coton, tourteau de coton", yde-secretariat@sosucam.somdiaa.com, 233 42 51 82 / 233 42 08 36
SODECOTON (Société de Développement du Coton du Cameroun), Monsieur MOHAMADOU BAYERO(Directeur général), DOUALA, Yaoundé (MBANDJOCK), Agence de voyage et de tourisme, fakhouryali@hotmail.fr; secretariat.direction@sourcedupays.com, 22 23 05 85 / 22 22 08 41
SOFITOUL S.A., Monsieur Rodolphe SIMO KAM(Administrateur directeur général), YAOUNDE," Bonabéri, Zone industrielle"," Engrais, produits chimiques, aliments du bétail, produits phytosanitaires, matériel de pulvérisation", speed.appro@netcourrier.com; speed.appro@yahoo.fr, 233 39 30 12 / 233 60 46 82 / 233 19 99 36
SOGECO, Monsieur Cément MOUMBE (Directeur Général), DOUALA," Bonanjo, avenue de Gaulle", Messageries Express, info@st.digital.com, 233 43 30 45
SOLEVO CAMEROUN, Monsieur Martial MEKONGO (Directeur Général), DOUALA, Akwa," Raffinage de pétrole brut, vente de produits raffinés"," pascale-fride.balem@cm.standardchartered.com, marie-paul.matouke@sc.com, yimga.nyassi@sc.com, Vincent.ngimbock@sc.com, jean-arsene.yerima@sc.com", 233 43 18 74
SOLEX SARL, Monsieur Joseph TONMO (D.G), DOUALA," Akwa, Immeuble Entrelec, 2ème étage"," Commerce général, quincaillerie", stylecomsarl@gmail.com / didyevrard@gmail.com," 243702420, 696407169"
SONARA  (Société Nationale de Raffinage), M. Jean Paul SIMO NJONOU (Directeur général) -M. Bernard BAYIHA (DGA) - Mme Bertha NDOH née BAKATA (PCA), DOUALA," Akwa, Boulevard de la Liberté", Production et commercialisation du sucre en morceaux et en poudre," sodipa@camnet.cm, sumocamsarl@yahoo.fr", 233 43 52 00  /233 42 52 99
SOREPCO, Monsieur Lucas DJEMMO(Président directeur général), DOUALA, Douala-Deido (entre BOULANGERIE COAF et CCA BANK), Commercialisation d'eau minérale et prestations de services, contact.uacam@uacamvie.com, 677 80 34 34 / 677 54 92 81
SOSUCAM (Société Sucrière du Cameroun), Monsieur Louis YINDA(Président directeur général), DOUALA," Bassa, à coté Unalor", Services multi-médias, doualasyndustricam@yahoo.fr; syndustricamyaounde@yahoo.fr, 233 42 67 41/ 233 37 30 03
SOURCE DU PAYS, Monsieur El SAHELY NESSRALLAH(Président directeur général), DOUALA," Bali, face Essoka Security", Approvisionnement express," mouzong_jc@yahoo.fr, aminkala@yahoo.fr", 680 08 63 39
SPECTRUM SARL, Colin EBARKO MUKETE (Directeur Général), DOUALA," Bonanjo, immeuble Ecobank 2e étage"," Formation, conseils, intégration de solutions informatiques", tac@taccm.net, 233 42 12 46
SPEED APPRO, Monsieur Michaël  BILLET(Directeur général), DOUALA," Bali, entrelec", Services bancaires, taf@tafinvest.com, 233 42 30 58(Douala)  222 20 24 68 (Yaoundé)
ST DIGITAL, Monsieur Anthony SAME EKOBO (D.G), DOUALA," Zone portuaire, derrière CNIC", Commerce, techno_zentrum@yahoo.fr, 699 41 70 96 / 675 41 11 52
STANDARD CHARTERED BANK CAMEROON S.A., Monsieur CHUKS UGHA(Directeur général), Douala," Zone portuaire, entrée nord", Transformation de sucre granulé en morceaux, eokie@telcarcocoa.com, 233 41 02 16 / 233 41 02 17 / 233 41 02 18/699 68 15 11 /12
STYLE.COM SARL, MADAME TEMGOUA DIDY AIMERANCE (Promotrice), DOUALA," Akwa, à coté Hôtel LEWAT"," Commerce général (produits du textile, couches jetables…)", quotidien_economique@yahoo.fr, 233 40 41 70/ 233 40 41 72
